timestamp,mse,threshold,status
1774379708.506761,3742.04611,2.520791,ANOMALIE
1774379708.6212943,3582.726981,2.520791,ANOMALIE
1774379708.7208729,3842.132293,2.520791,ANOMALIE
1774379708.8372543,3711.3938,2.520791,ANOMALIE
1774379708.928636,4005.320271,2.520791,ANOMALIE
1774379709.0459273,4949.412145,2.520791,ANOMALIE
1774379709.1625364,5119.845584,2.520791,ANOMALIE
1774379709.2795594,6337.012302,2.520791,ANOMALIE
1774379709.3695693,6211.221432,2.520791,ANOMALIE
1774379709.4831963,7767.347192,2.520791,ANOMALIE
1774379709.5775578,5143.398803,2.520791,ANOMALIE
1774379709.7096434,4980.97713,2.520791,ANOMALIE
1774379709.817853,5634.019046,2.520791,ANOMALIE
1774379709.9196815,6047.421617,2.520791,ANOMALIE
1774379710.0155447,6166.386858,2.520791,ANOMALIE
1774379710.0975437,6144.182716,2.520791,ANOMALIE
1774379710.2072225,5134.384175,2.520791,ANOMALIE
1774379710.299749,4982.241748,2.520791,ANOMALIE
1774379710.406727,3582.727759,2.520791,ANOMALIE
1774379710.5094755,4961.931565,2.520791,ANOMALIE
1774379710.5920079,5147.302346,2.520791,ANOMALIE
1774379710.6977608,6228.426244,2.520791,ANOMALIE
1774379710.7709703,6477.489963,2.520791,ANOMALIE
1774379710.846674,6228.426554,2.520791,ANOMALIE
1774379710.9353797,6477.488843,2.520791,ANOMALIE
1774379711.0153682,6228.42581,2.520791,ANOMALIE
1774379711.1012297,6477.488464,2.520791,ANOMALIE
1774379711.1824777,6228.425274,2.520791,ANOMALIE
1774379711.2556207,6477.489989,2.520791,ANOMALIE
1774379711.3537412,6228.425584,2.520791,ANOMALIE
1774379711.457,6477.490695,2.520791,ANOMALIE
1774379711.5699768,6228.42663,2.520791,ANOMALIE
1774379711.6608427,7496.492302,2.520791,ANOMALIE
1774379711.7535727,7507.628375,2.520791,ANOMALIE
1774379711.8407888,8761.867852,2.520791,ANOMALIE
1774379711.9276683,9696.891681,2.520791,ANOMALIE
1774379712.031249,7621.78392,2.520791,ANOMALIE
